,ecorregion_nivel_1,fecha,num_incendios,area_km2_ecorregiones,incendios_cada_km2
260,Elevaciones Semiaridas Meridionales,2004-12-22,3,453940974.5789417,6.608788736867575e-09
261,Elevaciones Semiaridas Meridionales,2004-12-24,8,453940974.5789417,1.7623436631646867e-08
262,Elevaciones Semiaridas Meridionales,2004-12-25,1,453940974.5789417,2.2029295789558583e-09
263,Elevaciones Semiaridas Meridionales,2004-12-26,2,453940974.5789417,4.405859157911717e-09
264,Elevaciones Semiaridas Meridionales,2004-12-27,1,453940974.5789417,2.2029295789558583e-09
265,Elevaciones Semiaridas Meridionales,2004-12-28,1,453940974.5789417,2.2029295789558583e-09
266,Elevaciones Semiaridas Meridionales,2004-12-29,3,453940974.5789417,6.608788736867575e-09
267,Elevaciones Semiaridas Meridionales,2004-12-31,2,453940974.5789417,4.405859157911717e-09
268,Elevaciones Semiaridas Meridionales,2005-01-01,1,453940974.5789417,2.2029295789558583e-09
269,Elevaciones Semiaridas Meridionales,2005-01-02,2,453940974.5789417,4.405859157911717e-09
270,Elevaciones Semiaridas Meridionales,2005-01-03,2,453940974.5789417,4.405859157911717e-09
271,Elevaciones Semiaridas Meridionales,2005-01-04,3,453940974.5789417,6.608788736867575e-09
272,Elevaciones Semiaridas Meridionales,2005-01-05,1,453940974.5789417,2.2029295789558583e-09
273,Elevaciones Semiaridas Meridionales,2005-01-07,4,453940974.5789417,8.811718315823433e-09
274,Elevaciones Semiaridas Meridionales,2005-01-10,1,453940974.5789417,2.2029295789558583e-09
275,Elevaciones Semiaridas Meridionales,2005-01-12,2,453940974.5789417,4.405859157911717e-09
276,Elevaciones Semiaridas Meridionales,2005-01-14,2,453940974.5789417,4.405859157911717e-09
277,Elevaciones Semiaridas Meridionales,2005-01-16,2,453940974.5789417,4.405859157911717e-09
278,Elevaciones Semiaridas Meridionales,2005-01-17,1,453940974.5789417,2.2029295789558583e-09
279,Elevaciones Semiaridas Meridionales,2005-01-18,1,453940974.5789417,2.2029295789558583e-09
280,Elevaciones Semiaridas Meridionales,2005-01-25,1,453940974.5789417,2.2029295789558583e-09
281,Elevaciones Semiaridas Meridionales,2005-01-30,4,453940974.5789417,8.811718315823433e-09
282,Elevaciones Semiaridas Meridionales,2005-02-10,1,453940974.5789417,2.2029295789558583e-09
