,tipo_suelo,fecha,num_incendios,area_km2_tipo_suelo_x,incendios_cada_km2,area_km2_tipo_suelo_y
159,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-04,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
160,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-06,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
161,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-10,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
162,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-18,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
163,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-19,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
164,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-20,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
165,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-21,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
166,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-23,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
167,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-24,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
168,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-25,5,900196336.2952371,5.554343867447325e-09,900196336.2952371
169,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-27,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
170,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-30,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
171,"Manejo agricola, pecuario y forestal (plantaciones)",2002-02-03,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
172,"Manejo agricola, pecuario y forestal (plantaciones)",2002-02-16,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
173,"Manejo agricola, pecuario y forestal (plantaciones)",2002-02-19,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
174,"Manejo agricola, pecuario y forestal (plantaciones)",2002-02-20,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
175,"Manejo agricola, pecuario y forestal (plantaciones)",2002-02-23,8,900196336.2952371,8.88695018791572e-09,900196336.2952371
176,"Manejo agricola, pecuario y forestal (plantaciones)",2002-02-25,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
177,"Manejo agricola, pecuario y forestal (plantaciones)",2002-02-26,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
178,"Manejo agricola, pecuario y forestal (plantaciones)",2002-02-27,6,900196336.2952371,6.66521264093679e-09,900196336.2952371
179,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-01,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
180,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-02,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
181,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-03,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
182,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-04,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
183,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-06,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
184,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-07,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
185,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-08,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
186,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-09,5,900196336.2952371,5.554343867447325e-09,900196336.2952371
187,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-10,4,900196336.2952371,4.44347509395786e-09,900196336.2952371
188,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-11,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
189,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-13,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
190,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-14,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
191,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-15,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
192,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-17,4,900196336.2952371,4.44347509395786e-09,900196336.2952371
193,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-18,4,900196336.2952371,4.44347509395786e-09,900196336.2952371
194,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-29,4,900196336.2952371,4.44347509395786e-09,900196336.2952371
195,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-30,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
196,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-31,8,900196336.2952371,8.88695018791572e-09,900196336.2952371
197,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-01,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
198,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-02,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
199,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-03,6,900196336.2952371,6.66521264093679e-09,900196336.2952371
200,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-04,6,900196336.2952371,6.66521264093679e-09,900196336.2952371
201,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-05,5,900196336.2952371,5.554343867447325e-09,900196336.2952371
202,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-06,4,900196336.2952371,4.44347509395786e-09,900196336.2952371
203,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-07,5,900196336.2952371,5.554343867447325e-09,900196336.2952371
204,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-08,6,900196336.2952371,6.66521264093679e-09,900196336.2952371
205,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-09,11,900196336.2952371,1.2219556508384116e-08,900196336.2952371
206,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-10,8,900196336.2952371,8.88695018791572e-09,900196336.2952371
207,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-11,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
208,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-12,10,900196336.2952371,1.110868773489465e-08,900196336.2952371
209,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-13,6,900196336.2952371,6.66521264093679e-09,900196336.2952371
210,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-16,8,900196336.2952371,8.88695018791572e-09,900196336.2952371
211,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-17,9,900196336.2952371,9.997818961405185e-09,900196336.2952371
212,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-18,9,900196336.2952371,9.997818961405185e-09,900196336.2952371
213,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-19,7,900196336.2952371,7.776081414426256e-09,900196336.2952371
